mag_u    mag_g    mag_r    mag_i    mag_z    sep    DLR    zphoto    age    logSFR    
  19.876      18.422      17.780      17.378      17.157      0.57      0.36       0.0833       4.09      -10.22
  22.474      21.065      20.360      20.087      19.748      0.93      0.94       0.1014       4.34      -10.25
  20.151      18.796      18.116      17.759      17.488      0.89      0.98       0.0619       6.50      -10.55
  22.835      21.412      20.224      19.729      19.564      1.28      1.54       0.2466       4.76      -10.50
  18.320      16.938      16.447      16.209      16.042      0.58      0.54       0.0437       3.90      -10.19
  21.649      19.224      17.929      17.438      17.137     10.42      6.04       0.2020       8.21      -16.67
  20.928      19.894      19.144      18.835      18.590      1.03      0.74       0.1727       5.03      -10.32
  22.816      22.193      20.933      21.228      20.585      1.40      1.14       0.3063       3.69      -10.17
  21.630      20.946      20.293      19.801      19.407      1.86      1.61       0.4374       5.09      -10.26
  21.257      18.970      17.991      17.585      17.256      0.60      0.48       0.1141       7.86      -15.85
  21.813      21.589      21.056      21.089      21.039      0.88      1.70       0.2958       2.88      -10.06
  24.710      22.176      20.410      19.729      19.286      3.35      4.45       0.4006       6.14      -15.22
  22.064      20.388      19.357      18.874      18.602      0.80      0.92       0.1756       5.43      -10.62
  18.703      17.331      16.803      16.448      16.248      3.76      1.31       0.0723       4.02      -10.20
  21.665      19.642      18.282      17.769      17.445      3.76      3.81       0.2228       7.65      -16.19
  16.338      14.815      14.360      14.149      14.046     18.59      1.52       0.0404       5.61      -11.81
  22.382      21.581      20.328      19.693      19.280      0.65      0.45       0.4020       7.48      -12.20
  20.704      19.286      18.355      17.920      17.601      0.83      0.66       0.1585       4.03      -10.18
  21.692      21.480      20.529      20.292      19.789      2.72      2.62       0.3819       3.37      -10.13
  20.656      20.035      19.690      19.375      19.374      1.79      2.94       0.1593       3.67      -10.16
  20.435      19.074      18.494      18.190      17.948      0.60      0.38       0.0564       3.88      -10.18
  22.576      22.239      21.577      22.395      21.679      0.73      0.77       0.2796       2.64      -10.04
  22.147      20.631      19.639      19.350      18.865      2.25      1.50       0.2141       3.20      -10.10
  22.422      21.189      19.972      19.608      19.395      1.63      1.44       0.3062       3.31      -10.19
  22.424      20.300      18.981      18.439      18.067      2.49      2.18       0.2006       6.69      -12.72
  22.618      19.439      18.348      18.001      17.653      2.22      1.37       0.1768       6.64      -15.66
  19.635      18.352      17.879      17.597      17.452      1.15      1.10       0.0564       4.29      -10.22
  18.683      16.959      15.957      15.468      15.056      6.62      2.27       0.1168       7.26      -10.82
  21.261      20.971      20.360      20.097      19.656      0.88      0.60       0.3168       3.66      -10.14
  21.872      20.914      20.099      19.778      19.390      1.76      1.94       0.2965       3.73      -10.16
  17.869      16.694      16.240      15.966      15.784      0.94      0.64       0.0517       4.77      -10.26
  20.715      19.872      19.449      19.213      19.232      1.22      0.91       0.1381       4.16      -10.20
  23.410      22.006      20.537      20.009      19.764      0.72      0.83       0.2878       4.29      -10.93
  20.861      19.914      19.505      19.291      19.225      1.75      1.10       0.0670       3.52      -10.15
  25.082      24.644      22.544      22.395      22.784      2.20      6.16       0.3666       4.87      -10.57
  23.360      22.881      21.883      21.547      21.145      0.93      1.32       0.3909       3.47      -10.12
  21.509      21.307      21.275      21.050      21.637      2.37      5.22       0.1592       1.92       -9.97
  23.673      22.305      21.491      21.513      22.242      1.35      3.35       0.3900       2.55      -10.02
  25.051      23.999      22.760      22.145      20.954      1.24      4.47       0.6191       5.18      -10.73
  18.537      16.952      16.238      15.883      15.652      6.70      1.35       0.0594       6.13      -11.17
  18.765      17.188      16.422      16.000      15.676     10.35      3.35       0.0613       6.26      -10.46
  19.283      17.278      16.339      15.934      15.623      5.27      2.23       0.0972       6.68      -15.26
  22.136      21.209      20.408      20.103      19.797      1.65      1.78       0.2679       3.63      -10.16
  19.917      18.128      17.067      16.683      16.363      2.77      1.87       0.1552       7.71      -15.28
  25.343      22.033      21.200      21.372      21.263      0.89      1.01       0.2180       4.91      -11.07
  19.891      18.966      18.445      18.030      17.936      2.83      3.44       0.1476       5.00      -10.30
  20.237      18.901      18.341      17.976      18.036      1.42      0.62       0.0896       3.47      -10.12
  20.467      18.895      18.141      17.728      17.310      3.30      3.38       0.0317       3.64      -10.20
  21.570      20.360      19.485      19.206      19.152      3.32      2.21       0.2623       3.40      -10.14
  22.980      21.987      21.180      20.839      20.772      0.32      0.52       0.2360       4.28      -10.25
  22.844      20.406      19.020      18.531      18.337      0.60      0.43       0.2442       6.19      -14.92
  16.054      14.303      13.499      13.107      12.799     11.15      2.16       0.0544       8.60      -14.83
  20.012      18.979      18.390      17.945      17.753      0.42      0.30       0.1144       7.63      -10.49
  20.577      18.609      17.540      17.117      16.767      0.79      0.65       0.1384       8.00      -15.63
  20.808      19.821      19.092      18.666      18.454      1.53      1.61       0.1913       5.19      -10.33
  19.530      18.132      17.293      16.857      16.616      3.92      2.39       0.1638       6.16      -10.50
  18.951      17.803      17.131      16.815      16.516      6.70      2.27       0.1281       4.81      -10.28
  18.766      17.869      17.586      17.311      17.239      1.41      0.74       0.0764       3.81      -10.16
  20.928      19.091      17.685      17.134      16.793      5.42      2.83       0.2424       7.09      -14.65
  23.340      22.366      21.809      21.798      21.099      0.27      0.68       0.2777       2.61      -10.03
  21.807      21.028      20.562      20.429      19.895      0.60      0.59       0.2376       2.68      -10.03
  20.652      19.823      19.151      18.870      18.583      2.57      1.92       0.2576       3.69      -10.13
  21.635      20.203      19.488      19.029      18.636      3.16      6.28       0.0537       4.28      -10.23
  20.446      19.062      18.303      17.908      17.671      1.99      1.30       0.1271       3.24      -10.11
  20.285      19.033      18.539      18.352      18.193      2.59      1.12       0.0269       3.85      -10.20
  21.997      19.951      18.880      18.513      18.245      0.45      0.49       0.1776       8.06      -16.02
  20.694      19.483      18.865      18.597      18.382      0.96      0.65       0.0731       2.98      -10.08
  20.144      19.300      18.517      18.143      17.920      1.32      0.73       0.2229       4.64      -10.28
  19.559      17.661      16.652      16.198      15.833      7.78      6.57       0.1142       7.93      -15.04
  21.349      20.381      19.057      18.568      18.193      2.40      1.60       0.3356       3.82      -10.16
  22.509      21.590      20.992      20.836      20.450      0.12      0.17       0.2329       3.57      -10.14
  20.657      19.656      19.117      18.847      18.817      0.82      0.53       0.1366       3.63      -10.16
  20.684      19.821      19.291      19.024      18.916      1.94      2.51       0.1319       3.15      -10.09
  22.999      20.961      19.721      19.276      19.018      0.84      0.83       0.2402       5.71      -12.52
  19.869      18.911      18.330      17.892      17.730      2.01      1.40       0.1492       6.36      -10.43
  23.555      22.669      21.318      20.871      20.422      2.05      2.21       0.3636       7.26      -13.01
  24.410      22.220      21.827      21.681      21.509      0.86      1.70       0.3063       4.00      -10.19
  22.568      21.717      20.402      19.839      19.739      0.98      0.97       0.3999       7.12      -13.38
  21.764      20.777      20.036      19.626      19.388      2.34      3.16       0.1665       4.46      -10.22
  21.101      19.248      17.996      17.472      17.119      3.93      3.87       0.2011       6.46      -12.03
  22.440      22.309      21.403      21.464      23.837      1.33      1.03       0.3667       2.37      -10.00
  20.353      19.650      19.043      18.788      18.540      3.43      3.56       0.2548       2.93      -10.04
  21.294      19.736      18.556      18.075      17.743      2.29      2.03       0.2065       5.70      -10.72
  20.274      19.363      18.753      18.497      18.233      4.29      3.06       0.1869       2.73      -10.04
  23.157      20.564      19.877      19.741      19.753      2.62      1.77       0.2198       2.89      -10.08
  21.807      20.521      19.936      19.636      19.401      2.45      2.67       0.0518       4.46      -10.27
  20.760      19.284      18.623      18.271      18.030      2.51      1.43       0.0671       4.24      -10.27
  20.675      19.766      18.722      18.325      17.922      2.63      1.34       0.3360       4.92      -10.24
  20.896      19.802      19.041      18.707      18.503      3.80      3.27       0.1750       3.33      -10.11
  22.101      21.360      20.649      20.259      19.889      0.19      0.20       0.2314       5.78      -10.45
  21.891      21.095      19.873      19.442      19.235      2.07      1.66       0.3548       4.05      -10.32
  25.040      22.443      20.843      20.118      19.760      1.98      2.04       0.4036       7.72      -16.16
  20.964      20.138      19.511      19.471      19.566      2.52      1.68       0.1589       2.87      -10.07
  23.041      23.248      21.940      22.541      21.386      2.57      5.36       0.3422       5.21      -10.35
  22.703      22.733      21.859      21.784      21.002      0.62      0.83       0.4692       5.65      -10.44
  19.897      18.624      17.751      17.342      17.109      1.32      0.82       0.1814       4.52      -10.28
  22.069      20.886      19.865      19.434      18.987      2.84      3.33       0.2544       5.01      -10.32
  22.770      21.922      21.729      21.433      22.621      0.44      0.82       0.0708       1.87       -9.96
  18.054      16.474      15.745      15.383      15.113      2.04      1.03       0.0566       6.62      -11.07
  21.032      19.302      18.417      18.067      17.780      0.13      0.18       0.1100       5.05      -11.79
  19.965      18.241      17.414      17.024      16.709      0.19      0.15       0.0700       7.91      -12.42
  22.048      20.783      20.367      19.983      19.769      1.62      1.52       0.0756       3.38      -10.10
  21.467      20.729      19.786      19.537      19.229      2.04      1.55       0.3519       2.52      -10.03
  19.575      17.781      16.664      16.187      15.876      0.24      0.08       0.1698       7.62      -13.99
  23.238      20.812      19.934      19.412      19.163      0.30      0.44       0.0992       5.98      -10.53
  21.288      19.630      19.031      18.733      18.857      0.40      0.22       0.0913       3.73      -10.17
  24.226      21.653      20.401      19.709      19.070      0.82      0.66       0.4287       6.23      -11.15
  21.160      19.862      18.540      18.075      17.686      2.30      1.64       0.2969       7.01      -11.21
  21.311      20.745      19.953      19.645      19.207      1.93      2.11       0.3304       4.41      -10.22
  20.886      18.749      17.601      17.068      16.679      0.79      0.46       0.1506       6.99      -11.37
  22.169      21.371      21.000      20.858      20.596      0.06      0.07       0.0686       3.41      -10.12
  20.567      18.670      17.740      17.323      17.017      1.32      1.35       0.0962       7.48      -15.01
  20.108      19.020      18.119      17.692      17.422      2.78      1.98       0.2047       5.27      -10.33
  22.058      20.776      20.321      20.093      20.052      0.77      1.29       0.0350       4.14      -10.21
  21.205      19.876      19.226      18.937      18.791      2.59      1.64       0.0804       4.17      -10.22
  20.262      19.188      18.533      18.244      18.078      2.58      1.27       0.1694       3.90      -10.20
  22.382      21.544      20.991      20.853      20.339      0.42      0.68       0.2925       2.34       -9.99
  20.453      19.013      18.157      17.690      17.500      2.00      1.28       0.1608       4.24      -10.23
  20.318      19.526      19.371      19.164      20.561      3.96      1.97       0.0475       2.62      -10.05
  20.027      19.056      18.114      17.796      17.483      1.20      0.45       0.3177       4.62      -10.29
  22.570      21.438      21.479      20.776      20.896      1.12      3.12       0.1414       4.06      -10.19
  21.744      19.270      17.884      17.421      17.107      2.63      1.23       0.2222       7.76      -16.63
  23.851      21.225      20.065      19.707      19.553      0.41      0.76       0.1886       7.80      -16.67
  21.530      20.750      19.741      19.309      18.934      0.48      0.43       0.3223       4.70      -10.25
  23.195      22.025      20.557      19.984      19.592      4.35      7.14       0.3268       4.89      -10.71
  22.233      20.127      19.041      18.552      18.159      2.43      3.07       0.1244       4.44      -10.24
  20.490      18.438      17.291      16.746      16.408      4.27      2.72       0.1727       6.79      -12.14
  21.975      21.901      21.402      21.222      21.442      0.29      0.36       0.3182       2.77      -10.04
  19.955      18.775      18.094      17.711      17.436      1.79      0.96       0.1210       5.63      -10.33
  22.728      22.376      21.352      21.011      20.201      0.14      0.11       0.4509       5.48      -10.56
  23.046      21.367      20.057      19.555      19.145      6.54      6.91       0.2164       6.86      -12.03
  21.682      20.728      20.023      19.663      19.401      1.19      1.25       0.1896       3.91      -10.19
  23.055      22.134      21.657      21.717      21.489      1.05      2.30       0.4284       3.67      -10.16
  22.396      20.575      19.225      18.744      18.524      2.09      3.09       0.2478       7.12      -15.64
  22.884      21.855      20.526      19.961      19.412      0.10      0.15       0.3822       6.03      -10.71
  20.461      18.995      18.016      17.558      17.218      0.28      0.19       0.1689       4.98      -10.32
  22.866      21.452      20.139      19.618      19.342      0.81      1.08       0.2476       5.41      -10.92
  20.241      19.377      18.814      18.533      18.505      1.27      0.73       0.1981       4.10      -10.24
  21.141      19.291      18.399      18.036      17.819      0.23      0.27       0.1211       6.69      -13.63
  22.764      20.147      19.043      18.562      18.218      1.11      1.17       0.1474       8.04      -13.92
  22.190      20.816      19.679      19.158      18.870      0.17      0.26       0.2163       5.03      -10.35
  20.554      19.480      18.792      18.483      18.281      0.07      0.06       0.1694       4.38      -10.25
  23.519      22.205      21.773      21.465      21.783      0.29      0.63       0.2845       3.91      -10.19
  21.786      20.809      19.770      19.302      19.027      1.94      3.16       0.2524       5.58      -10.37
  21.581      20.551      20.194      20.107      20.128      0.05      0.06       0.1261       2.95      -10.08
  21.058      19.618      18.830      18.412      18.275      2.65      1.65       0.1569       4.76      -10.35
  21.574      20.043      19.232      18.800      18.520      2.41      2.30       0.1051       3.30      -10.12
  20.081      19.026      18.421      18.146      18.018      0.67      0.43       0.1243       2.85      -10.05
  20.439      19.296      18.795      18.491      18.270      3.49      1.94       0.0611       4.05      -10.23
  23.606      22.021      21.215      21.030      20.595      0.20      0.25       0.1286       4.90      -10.32
  21.886      20.982      19.860      19.306      18.912      5.27      4.47       0.3686       4.85      -10.26
  20.747      18.644      17.430      16.948      16.613      3.88      2.46       0.1780       8.52      -16.94
  23.014      21.186      20.044      19.544      19.169      6.39      7.38       0.1635       5.15      -10.39
  23.027      20.219      18.717      18.127      17.650      3.81      1.55       0.2957       5.25      -12.24
  22.170      21.747      20.924      20.822      20.658      1.16      1.58       0.4057       5.69      -10.39
  22.993      20.895      19.338      18.763      18.421      3.08      3.20       0.2941       6.21      -14.84
  20.504      19.858      19.174      18.873      18.769      2.67      1.54       0.2471       4.34      -10.19
  22.764      21.441      20.746      20.439      20.293      0.30      0.43       0.0966       4.08      -10.21
  21.852      20.108      18.822      18.355      17.966      1.61      1.81       0.2017       8.52      -16.07
  22.059      20.502      19.855      19.508      19.588      0.16      0.10       0.1205       3.70      -10.19
  20.490      19.176      18.537      18.247      18.019      1.55      0.83       0.0506       5.00      -10.35
  19.359      18.115      17.410      16.976      16.691      3.69      2.30       0.1168       5.26      -10.34
  22.840      21.018      19.568      19.048      18.722      1.97      1.76       0.2489       6.62      -13.50
  21.059      20.235      19.759      19.412      19.116      0.57      0.55       0.1314       5.22      -10.30
  22.227      21.252      20.347      20.159      19.642      1.11      1.16       0.3162       3.03      -10.08
  21.291      20.048      19.076      18.691      18.323      1.41      1.65       0.2104       5.42      -10.38
  21.006      19.618      18.502      18.066      17.834      2.57      2.94       0.2303       5.99      -11.04
  21.468      20.720      20.165      19.952      19.659      0.80      1.30       0.2027       4.54      -10.26
  22.208      20.555      19.677      19.318      19.011      0.07      0.10       0.1062       7.47      -12.19
  20.986      19.163      18.050      17.604      17.258      0.41      0.34       0.1553       7.79      -14.06
  21.977      19.954      18.401      17.869      17.520      5.51      2.20       0.2760       6.26      -14.89
  19.284      17.556      16.678      16.227      15.824      3.94      3.04       0.0542       7.02      -10.78
  22.981      22.333      20.932      20.402      20.137      1.53      2.16       0.3598       4.33      -10.41
  19.355      17.540      16.530      16.114      15.781     11.18      6.34       0.1283       7.76      -15.16
  23.302      22.370      21.502      21.570      21.924      1.45      1.70       0.2485       4.28      -10.24
  19.037      17.209      16.362      15.993      15.679      0.18      0.17       0.0704       8.27      -15.77
  22.636      20.677      19.575      19.190      18.797      0.13      0.17       0.1390       7.00      -12.63
  17.054      16.457      15.998      15.567      15.454      7.55      3.75       0.1584       7.42      -10.38
  19.727      19.235      18.922      18.607      18.456      1.83      0.77       0.1448       4.50      -10.23
  19.201      17.617      16.865      16.550      16.312      0.40      0.26       0.0813       7.73      -13.65
  21.022      19.944      18.979      18.548      18.340      4.05      3.22       0.2389       5.14      -10.36
  25.678      21.393      20.777      20.290      20.142      2.92      2.59       0.0757       8.82      -17.98
  17.078      15.102      14.250      13.811      13.498      5.69      0.73       0.0619       6.50      -14.67
  21.761      20.159      18.997      18.471      18.192      1.38      1.45       0.2105       4.81      -10.37
  21.954      21.141      20.604      20.559      20.412      0.99      1.65       0.1414       1.79       -9.95
  25.138      20.890      19.280      18.717      18.462      0.46      0.59       0.3102       8.24      -26.20
  23.658      20.582      19.445      18.975      18.527      1.91      2.26       0.1549       4.56      -10.33
  22.201      21.522      20.308      19.899      19.906      0.08      0.07       0.4132       6.31      -11.62
  20.277      18.335      17.001      16.500      16.253     12.44      4.47       0.2300       6.74      -14.87
  24.366      20.717      20.346      20.150      20.109      0.99      0.79       0.1262       5.05      -11.18
  26.365      21.782      20.317      19.695      19.259      1.34      1.35       0.3175       6.67      -23.73
  19.665      18.574      17.810      17.429      17.177      1.83      1.74       0.1676       5.31      -10.36
  20.827      19.591      18.940      18.711      18.534      2.73      1.46       0.1235       3.12      -10.11
  22.456      22.313      21.510      21.641      22.206      0.26      0.51       0.2874       4.84      -10.27
  20.891      19.337      18.281      17.858      17.578      1.20      1.22       0.1820       6.19      -11.20
  20.090      18.699      17.649      17.196      16.917      1.87      1.59       0.2029       4.68      -10.36
  21.344      19.877      18.840      18.346      17.964      1.46      2.78       0.1483       7.67      -11.09
  20.755      20.056      19.024      18.534      18.161      1.58      1.24       0.3613       6.07      -10.66
  18.703      17.121      16.580      16.334      16.267      5.83      1.30       0.0606       5.33      -11.69
  21.599      20.429      19.673      19.238      19.170      0.69      0.71       0.1776       4.75      -10.30
  20.642      19.611      18.758      18.362      18.101      2.17      1.95       0.2155       4.77      -10.27
  23.268      21.998      20.688      20.140      19.853      1.99      3.15       0.2750       5.33      -10.73
  22.595      19.917      18.684      18.198      17.994      2.94      1.72       0.2001       8.10      -16.57
  23.511      21.137      20.449      20.281      20.065      1.12      1.90       0.3343       2.52      -10.01
  21.494      21.178      20.354      20.022      19.723      1.26      1.07       0.3633       3.68      -10.14
