mag_u    mag_g    mag_r    mag_i    mag_z    sep    DLR    zphoto    age    logSFR    
  19.684      18.493      17.433      17.010      16.695      2.64      1.14       0.2541       6.42      -10.79
  22.474      21.507      20.837      20.497      20.422      1.61      1.84       0.1899       3.52      -10.11
  22.120      21.154      20.021      19.419      19.041      1.25      2.30       0.3226       6.17      -10.51
  18.662      17.389      16.821      16.507      16.296      4.88      1.94       0.0706       5.45      -10.39
  21.823      20.420      19.540      19.238      18.743      2.07      1.63       0.1727       3.97      -10.21
  16.501      14.741      13.907      13.496      13.233      4.98      1.16       0.0763       9.13      -14.87
  20.561      19.625      19.273      19.024      19.005      0.99      0.98       0.0877       3.03      -10.09
  21.008      20.271      19.293      18.923      18.565      1.36      1.65       0.3325       5.04      -10.28
  20.926      20.821      19.368      19.041      19.467      1.25      1.32       0.4013      11.55      -19.48
  20.183      18.361      17.350      16.937      16.614      0.21      0.12       0.1304       8.25      -15.01
  22.800      21.047      20.619      20.193      20.205      0.59      0.89       0.0901       3.81      -10.18
  21.684      19.616      18.323      17.790      17.358      4.42      3.61       0.1794       5.86      -10.96
  20.386      18.925      18.127      17.768      17.495      1.08      0.99       0.1186       6.49      -10.81
  20.551      18.462      17.427      16.993      16.641      2.69      3.07       0.1244       8.02      -15.64
  21.648      20.021      18.930      18.488      18.189      0.20      0.25       0.1800       6.18      -11.47
  21.446      20.811      20.075      19.673      19.417      1.48      1.76       0.2331       5.10      -10.29
  20.725      19.496      18.590      18.105      17.869      3.20      3.40       0.2001       4.31      -10.22
  21.139      20.195      19.097      18.736      18.386      0.82      0.56       0.3505       4.39      -10.27
  21.736      21.262      20.660      20.367      20.110      0.55      0.74       0.2994       5.19      -10.32
  21.340      19.299      18.070      17.623      17.330      3.26      3.56       0.2001       8.11      -16.93
  19.227      17.655      16.807      16.372      16.093      1.41      0.61       0.1192       6.23      -10.58
  22.556      21.685      20.771      20.543      20.200      0.90      0.67       0.3709       3.36      -10.12
  21.611      20.861      20.554      20.303      20.190      0.07      0.10       0.1008       3.57      -10.13
  19.719      18.389      17.709      17.310      17.007      1.19      1.21       0.0732       4.78      -10.25
  21.690      20.776      19.549      18.983      18.578      2.01      1.63       0.3829       5.64      -10.46
  20.571      19.133      18.296      17.880      17.653      6.25      5.44       0.1509       5.91      -10.53
  20.935      19.112      17.912      17.432      17.110      2.93      2.30       0.1819       7.54      -15.06
  20.346      18.612      17.788      17.394      17.121      0.20      0.16       0.0671       7.74      -13.66
  23.779      23.108      21.678      21.212      20.994      1.05      1.15       0.4155       6.87      -12.38
  21.681      20.823      19.452      18.995      18.603      0.66      0.78       0.3327       3.22      -10.09
  20.869      19.265      18.230      17.802      17.432      4.34      3.43       0.1454       5.64      -10.59
  20.710      19.840      19.073      18.801      18.686      1.59      0.83       0.2547       4.76      -10.28
  20.916      19.402      18.455      17.903      17.637      3.21      1.59       0.1544       5.29      -10.36
  19.870      17.953      16.927      16.524      16.166      3.34      3.82       0.1275       7.64      -15.66
  19.945      18.504      17.572      17.179      16.856      0.84      0.54       0.1486       7.30      -11.22
  23.899      22.517      21.777      21.463      23.544      0.59      0.83       0.2263       0.71       -9.74
  20.032      18.987      18.274      17.923      17.687      6.19      3.84       0.1729       6.45      -10.52
  20.281      18.452      17.597      17.197      16.907      4.51      1.93       0.0729       7.90      -14.58
  24.268      24.844      19.611      19.243      18.848      0.60      0.66       0.2858      11.10      -56.01
  21.185      20.108      19.404      19.051      19.017      1.23      0.68       0.1701       4.12      -10.22
  21.365      20.033      18.999      18.596      18.354      0.46      0.39       0.2046       6.29      -11.08
  21.465      20.485      19.412      19.080      18.743      3.12      4.85       0.3520       4.45      -10.29
  18.811      16.802      15.740      15.219      14.825      5.00      1.86       0.1258       9.48      -14.58
  21.549      20.319      19.555      19.109      18.820      0.49      0.52       0.1417       4.06      -10.21
  22.130      21.729      21.016      21.058      20.660      0.94      1.32       0.2760       2.42      -10.01
  22.730      21.785      20.765      20.736      20.217      0.20      0.28       0.3474       2.81      -10.05
  23.000      22.192      21.507      21.178      20.823      0.72      1.23       0.2438       3.17      -10.07
  21.898      19.978      18.547      18.049      17.735      1.14      1.13       0.2367       7.07      -16.03
  22.368      21.580      20.045      19.469      18.988      1.23      1.10       0.3856       3.33      -10.12
  22.004      21.022      20.498      20.184      20.215      2.97      3.17       0.1373       3.52      -10.14
  19.227      17.658      16.901      16.434      16.049      6.52      4.78       0.0650       4.50      -10.22
  20.918      18.989      17.852      17.428      17.128      0.17      0.19       0.1716       8.73      -17.91
  21.608      19.964      19.201      18.798      18.421      2.87      2.20       0.0543       3.22      -10.11
  22.831      22.678      21.168      21.016      20.770      0.68      0.96       0.3957       2.76      -10.06
  22.820      20.820      19.693      19.203      18.957      0.15      0.19       0.1754       7.03      -13.35
  21.816      20.147      18.829      18.346      18.019      2.22      3.21       0.2247       7.07      -14.64
  19.928      18.777      17.891      17.445      17.054      3.98      3.74       0.1721       5.23      -10.31
  23.387      19.801      18.422      17.912      17.614      7.03      5.44       0.2211       8.15      -17.49
  22.953      21.919      21.467      21.154      21.022      0.12      0.21       0.0858       4.63      -10.24
  21.503      21.292      20.391      20.478      20.547      1.97      1.13       0.3385       2.98      -10.05
  26.533      23.113      21.453      20.874      20.660      6.75      3.71       0.3697       8.40      -17.62
  19.602      18.254      17.518      17.031      16.797      7.06      5.28       0.1183       3.31      -10.13
  19.320      18.202      17.664      17.319      17.113      1.86      0.96       0.0875       4.73      -10.29
  25.393      21.191      19.646      19.074      18.776      0.67      0.69       0.3093       6.72      -21.35
  24.189      22.804      22.433      21.830      21.941      0.52     -0.00       0.1629       4.41      -10.23
  23.149      21.202      20.607      20.212      20.339      1.64      1.16       0.1417       3.47      -10.12
  25.100      22.162      21.014      20.611      20.419      3.22      4.59       0.2077       3.96      -18.04
  21.922      19.915      18.892      18.410      18.110      0.33      0.41       0.1399       7.54      -13.30
  23.340      20.553      18.875      18.339      17.935      3.10      3.36       0.3160       6.39      -16.74
  21.634      20.848      20.148      19.849      19.644      0.71      0.96       0.2158       3.49      -10.12
  23.487      20.721      20.473      20.335      19.795      2.60      4.00       0.1895       3.77      -10.18
  21.144      20.171      19.589      19.238      19.108      1.81      1.03       0.1531       4.08      -10.20
  20.280      19.292      18.889      18.670      18.679      1.13      0.49       0.0695       3.63      -10.16
  18.716      16.974      16.201      15.875      15.576      1.56      0.71       0.0578       6.93      -14.70
  19.917      18.898      18.334      17.997      17.876      2.31      2.13       0.1466       3.67      -10.14
  22.549      21.381      20.097      19.570      19.262      1.50      2.02       0.2984       6.33      -11.19
  20.532      19.997      19.779      19.559      19.324      0.86      1.57       0.2321       2.18      -10.00
  20.450      18.845      17.706      17.234      16.940      3.78      2.75       0.1998       5.92      -11.02
  24.437      22.110      20.829      20.462      20.125      0.10      0.13       0.2117       5.48      -12.47
  22.092      20.254      18.922      18.420      18.046      0.29      0.36       0.2072       8.01      -15.98
  20.978      20.326      19.707      19.532      19.427      7.02      7.42       0.2521       3.00      -10.08
  19.455      17.606      16.611      16.090      15.677      1.50      0.53       0.1000       6.55      -10.82
  20.967      19.587      18.395      17.885      17.531      0.44      0.32       0.2331       5.51      -10.48
  22.757      22.573      21.417      20.930      20.301      0.55      0.98       0.4841       4.57      -10.32
  21.514      20.580      19.233      18.726      18.398      2.71      2.30       0.3314       6.90      -11.97
  22.713      21.844      21.578      21.737      20.986      1.08      1.76       0.1155       2.02       -9.97
  21.874      21.333      20.774      20.334      20.242      0.81      1.16       0.2478       4.26      -10.21
  24.322      22.073      21.522      21.166      20.640      1.08      0.91       0.2158       3.41      -10.13
  17.559      16.506      16.174      15.974      15.831     12.84      2.46       0.0368       4.10      -10.22
  21.909      20.342      19.157      18.692      18.343      1.49      0.96       0.1923       4.92      -10.49
  20.566      19.348      18.020      17.591      17.139      2.14      1.38       0.3326       4.22      -10.22
  19.726      17.758      16.674      16.259      15.874      7.92      3.95       0.1360       8.14      -16.52
  22.244      20.731      19.886      19.384      19.180      1.09      1.31       0.1280       4.00      -10.18
  22.819      20.583      19.364      18.902      18.468      0.17      0.23       0.1605       7.25      -13.15
  21.999      20.046      18.500      17.964      17.724      5.06      3.60       0.2743       6.34      -16.69
  21.093      20.270      19.550      19.111      18.908      0.47      0.37       0.1938       5.76      -10.45
  19.795      17.998      17.098      16.579      16.302      1.70      1.04       0.1171       6.11      -10.59
  22.911      21.579      20.392      19.892      19.492      1.43      1.52       0.2604       4.74      -10.35
  21.088      18.884      17.646      17.189      16.853      0.36      0.20       0.1831       8.87      -17.59
  20.980      19.745      19.339      19.083      19.055      4.30      3.60       0.0587       2.41      -10.02
  18.996      17.705      17.044      16.695      16.465      1.58      0.54       0.0954       5.58      -10.39
  20.131      18.950      18.056      17.649      17.358      1.13      0.72       0.1989       5.45      -10.40
  19.935      18.546      17.696      17.258      17.031      0.36      0.23       0.1648       5.36      -10.40
  26.027      20.837      19.777      19.283      18.763      2.79      7.14       0.2377      10.46      -50.59
  21.675      20.225      19.381      18.871      18.565      3.22      2.00       0.1094       4.16      -10.23
  24.466      20.857      19.546      19.096      18.743      2.66      2.68       0.2144       6.81      -16.68
  22.338      19.815      18.611      18.148      17.797      0.92      1.03       0.1749       8.95      -16.79
  22.964      21.142      20.098      19.673      19.380      0.48      0.74       0.1535       4.45      -10.39
  22.150      20.413      19.207      18.672      18.349      4.73      3.54       0.2053       7.15      -12.28
  18.388      17.510      17.050      16.603      16.457      3.71      2.04       0.0976       7.73      -10.46
  23.124      21.595      21.241      21.229      22.523      1.59      1.86       0.0652       1.73       -9.93
  22.626      21.057      20.571      20.228      19.935      0.54      0.78       0.0736       4.02      -10.21
  21.207      20.137      18.944      18.462      18.136      1.91      1.60       0.2987       5.33      -10.39
  19.030      17.243      16.288      15.776      15.468      2.27      0.90       0.1299       7.93      -11.28
  19.706      18.606      17.918      17.533      17.299      2.09      1.07       0.1507       5.76      -10.35
  19.510      17.286      16.099      15.526      15.126      5.33      1.53       0.1468       9.10      -16.57
  19.318      17.742      16.834      16.454      16.120      0.17      0.06       0.1160       7.55      -11.54
  21.311      20.316      19.934      19.619      19.644      0.11      0.16       0.1011       4.40      -10.26
  21.711      21.764      20.951      20.642      20.541      1.92      1.67       0.3880       4.85      -10.29
  19.834      17.928      16.886      16.472      16.130      2.28      1.31       0.1324       8.03      -15.65
  20.578      19.374      18.662      18.333      18.159      1.27      1.03       0.1565       6.24      -10.55
