groupz    galz    R200    Sigma    Lgroup    Nmemb    Mgroup    DeltaLSS    dR200    MassBest    nI    nB    gReI    gReB    diskhI-tot    diskhB-tot    bulgeRe-I    bulgeRe-B    diskInc-I    diskInc-B    SFRBest    sSFRBest    B-I    Jmag    Hmag    Kmag    BulgeMass    DiskMass    FUV-NUV    umag    gmag    rmag    imag    zmag    
0.05461     0.05520     0.849     171.4     2.7286e+11      12     7.3357e+13      0.770     0.000     2.1300e+11       1.53       1.45       6.164       6.812     NA    NA      4.705       4.705      70.001      70.001      0.0568     .6673e-13       1.528     13.085     12.867     12.983     .4499e+11      .1095e+11       1.353     NA    NA    NA    NA    NA    
0.05461     0.05449     0.849     171.4     2.7286e+11      12     7.3357e+13      0.770     0.893     1.0400e+10       0.88       0.75       6.810       8.106       4.195       5.242     NA    NA    NA    NA     0.2056     .9773e-11       0.788     15.656     15.628     15.741     NA    NA     0.512     NA    NA    NA    NA    NA    
0.05461     0.05422     0.849     171.4     2.7286e+11      12     7.3357e+13      0.770     0.823     1.2500e+10       1.20     NA      7.854     NA      4.377       5.838       3.340       4.889      79.194      80.935      1.4891     .1913e-10       1.104     15.649     15.118     15.032     .0845e+09      .8160e+09       0.480     NA    NA    NA    NA    NA    
0.05461     0.05586     0.849     171.4     2.7286e+11      12     7.3357e+13      0.770     0.723     9.6200e+08       1.03       0.90       1.787       1.759       1.070       1.076       1.378     NA     59.128     NA     0.3761     .9100e-10       0.973     18.234     17.159     NA    NA    NA     0.615     NA    NA    NA    NA    NA    
0.05461     0.05495     0.849     171.4     2.7286e+11      12     7.3357e+13      0.770     0.993     4.8300e+10       2.31       1.70      13.606      15.866       4.599       6.839       6.744       8.892      43.727      48.054      8.8057     .8231e-10       1.026     13.867     13.139     13.849     .3273e+10      .6052e+10       0.445     NA    NA    NA    NA    NA    
0.05461     0.05480     0.849     171.4     2.7286e+11      12     7.3357e+13      0.770     1.417     2.4600e+09       0.79       0.46       3.348       3.607       2.104       2.440     NA      1.324     NA     70.394      3.0529     .2410e-09       0.863     16.207     16.574     16.314     NA    NA     0.658     NA    NA    NA    NA    NA    
0.05461     0.05427     0.849     171.4     2.7286e+11      12     7.3357e+13      0.770     0.901     2.4200e+10       3.36       2.05       6.227       6.028     NA    NA      0.628       0.503      68.037      68.037      0.1640     .7785e-12       1.435     15.102     14.638     15.088     .9824e+10      .8888e+10       0.834     NA    NA    NA    NA    NA    
0.05461     0.05482     0.849     171.4     2.7286e+11      12     7.3357e+13      0.770     1.324     4.1900e+10       3.16       3.20       1.727       1.643     NA    NA    NA    NA    NA    NA     0.0067     .6020e-13       1.490     15.229     14.945     15.225     NA    NA     0.163     NA    NA    NA    NA    NA    
0.05461     0.05462     0.849     171.4     2.7286e+11      12     7.3357e+13      0.770     1.365     5.1400e+10       5.84       7.02       5.430       8.166     NA    NA    NA    NA    NA    NA     0.0252     .8946e-13       1.441     15.001     14.510     14.839     NA    NA     1.184     NA    NA    NA    NA    NA    
0.05461     0.05405     0.849     171.4     2.7286e+11      12     7.3357e+13      0.770     1.368     1.2600e+09       1.39       1.25       3.509       4.021       1.835       2.184     NA      1.551     NA     53.870      0.3912     .1049e-10       0.670     17.563     16.501     NA    NA    NA     0.178     NA    NA    NA    NA    NA    
0.05461     0.05412     0.849     171.4     2.7286e+11      12     7.3357e+13      0.770     1.653     1.7900e+11       4.47       4.48       6.709       7.079     NA    NA      3.150       4.706      68.349      74.251      4.1710     .3302e-11       1.501     14.084     13.663     13.997     .1483e+10      .5810e+10      NA    NA    NA    NA    NA    NA    
0.05461     0.05339     0.849     171.4     2.7286e+11      12     7.3357e+13      0.770     1.730     7.3600e+09       3.45       5.66       3.717       5.817     NA    NA      2.102       0.499      43.946      43.614      0.0002     .0452e-14       1.343     16.323     15.428     15.889     .9973e+10      .3096e+09      NA    NA    NA    NA    NA    NA    
0.05552     0.05522     0.279      52.3     3.4327e+10       5     2.6071e+12     -0.103     0.996     1.6500e+10       3.01       2.04       2.461       2.505     NA    NA      0.564       0.773      68.837      66.448      0.1834     .1118e-11       1.236     15.568     15.683     15.828     .7667e+09      .2995e+09      NA    NA    NA    NA    NA    NA    
0.05552     0.05520     0.279      52.3     3.4327e+10       5     2.6071e+12     -0.103     0.770     7.4500e+08       0.90       0.75       3.956       3.713     NA    NA    NA    NA    NA    NA     7.4500     .0000e-08       0.860     17.340     15.706     15.977     NA    NA    NA    NA    NA    NA    NA    NA    
0.05552     0.05578     0.279      52.3     3.4327e+10       5     2.6071e+12     -0.103     0.426     1.7900e+09       0.89       0.64       5.812       5.523       3.618       3.713       3.574       1.772      67.162      69.951     15.9296     .8992e-09       0.947     16.562     15.756     16.938     NA    .8975e+09      NA    NA    NA    NA    NA    NA    
0.05552     0.05519     0.279      52.3     3.4327e+10       5     2.6071e+12     -0.103     0.000     1.9200e+10       2.88       1.65       5.065       6.213     NA    NA    NA    NA    NA    NA    21.5973     .1249e-09       1.401     15.006     14.383     14.440     NA    NA    NA    NA    NA    NA    NA    NA    
0.05552     0.05579     0.279      52.3     3.4327e+10       5     2.6071e+12     -0.103     1.001     5.1600e+08       1.84       1.40       7.883       8.979       2.959       4.255       2.387       5.312       7.363      24.220      5.1600     .0000e-08       0.649     17.614     16.788     NA    .2268e+08      .5278e+08      NA    NA    NA    NA    NA    NA    
0.05676     0.05729     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     1.921     6.5000e+09       1.79       1.36       3.443       4.092     NA    NA      2.687       2.687      74.695      74.695      0.0778     .1965e-11       1.194     16.202     15.820     16.782     .9259e+09      .6406e+09       0.402     NA    NA    NA    NA    NA    
0.05676     0.05522     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     1.822     1.6300e+09       1.40       1.18       4.245       4.818     NA    NA      2.507       2.507      76.505      76.505      8.5898     .2698e-09       1.125     16.241     16.294     16.130     .2016e+09      .5112e+09      NA    NA    NA    NA    NA    NA    
0.05676     0.05540     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     1.563     4.9300e+09       1.06       1.12       2.794       2.935       1.641       1.686       1.471     NA     61.214     NA     0.3814     .7360e-11       1.283     17.742     17.891     16.631     NA    NA    NA    NA    NA    NA    NA    NA    
0.05676     0.05630     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     1.717     2.1300e+10       2.89       2.36       3.203       2.876     NA    NA      1.350       1.058      57.572      58.674      0.0001     .0000e-14       1.205     15.123     14.998     15.445     .0204e+10      .5029e+09       2.947     NA    NA    NA    NA    NA    
0.05676     0.05506     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     1.029     1.4500e+09       0.77       0.80       3.884       3.695       2.578       2.372       0.431       0.548      42.101      43.257      1.9595     .3514e-09       0.861     16.523     15.800     16.331     NA    .2853e+09       0.556     NA    NA    NA    NA    NA    
0.05676     0.05580     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     1.206     2.4500e+09       3.17       3.18       1.742       1.930     NA    NA      1.056       0.900      30.810      32.861      0.0001     .0000e-14       1.083     17.524     17.446     17.891     .0464e+09      .6182e+08       3.345     NA    NA    NA    NA    NA    
0.05676     0.05537     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     0.965     2.3800e+10       2.95       2.68       7.137      10.287     NA    NA      3.398       3.473      77.776      76.911      1.5313     .4340e-11       1.117     14.916     14.077     14.827     .3269e+10      .4481e+09       0.424     NA    NA    NA    NA    NA    
0.05676     0.05602     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     0.425     1.1700e+10       1.50       1.23       2.791       3.055     NA    NA      1.706       1.838      78.341      77.123      0.0001     .0000e-14       1.264     15.694     15.202     15.484     .0127e+09      .0254e+10      NA    NA    NA    NA    NA    NA    
0.05676     0.05719     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     0.475     1.4900e+10       3.38       2.71       2.454       2.520     NA    NA      1.795       1.852      31.761      46.405      0.0266     .7841e-12       1.283     15.562     15.630     15.944     .6338e+10      .1301e+09      NA    NA    NA    NA    NA    NA    
0.05676     0.05862     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     0.253     2.3900e+10       3.02       1.63       7.138       6.833     NA    NA    NA    NA    NA    NA    17.5612     .3478e-10       1.066     14.250     14.011     14.310     NA    NA     0.946     NA    NA    NA    NA    NA    
0.05676     0.05541     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     0.274     3.0400e+10       3.11       2.49       1.966       2.072     NA    NA    NA    NA    NA    NA     0.0193     .3461e-13       1.344     15.129     14.783     15.016     NA    NA    NA    NA    NA    NA    NA    NA    
0.05676     0.05878     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     0.144     5.7100e+08       0.87       0.55       3.067       3.046       1.910       2.030       1.486     NA     69.625     NA     0.1571     .7520e-10       0.511     NA    18.490     17.449     NA    NA     0.439     NA    NA    NA    NA    NA    
0.05676     0.05866     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     0.000     7.2700e+10       4.51       3.65       5.288       5.599     NA    NA      2.653       3.366      61.789      60.806      0.3301     .5407e-12       1.145     13.970     13.860     14.054     .6713e+10      .3293e+10      NA    NA    NA    NA    NA    NA    
0.05676     0.05535     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     0.490     5.1800e+09       1.56       1.49       3.093       3.046     NA    NA    NA    NA    NA    NA     0.0025     .8604e-13       1.180     16.788     16.460     16.799     NA    NA     1.389     NA    NA    NA    NA    NA    
0.05676     0.05606     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     0.969     2.6000e+09       1.15       1.18       4.852       6.487       2.773       3.680       2.636       2.903      80.349      80.329      0.2435     .3659e-11       0.982     16.365     16.652     NA    .7956e+09      .3720e+09       0.680     NA    NA    NA    NA    NA    
0.05676     0.05619     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     0.687     1.8400e+10       1.72       1.53       5.430       5.622       2.554       2.824       2.907       3.287      58.669      58.863      0.5089     .7660e-11       1.122     15.121     14.676     15.675     .6927e+09      .4348e+10       0.476     NA    NA    NA    NA    NA    
0.05676     0.05911     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     0.404     3.4900e+09       0.88       0.62       2.681       2.545       1.676       1.682     NA      2.131     NA     50.365      0.1168     .3471e-11       0.780     18.057     NA    17.721     NA    NA    -0.196     NA    NA    NA    NA    NA    
0.05676     0.05937     0.746     447.0     2.0592e+11      18     4.9800e+13      0.603     0.530     2.1100e+10       2.54       2.05       2.851       3.072     NA    NA      1.390       1.317      51.772      51.772      0.0958     .5407e-12       1.333     15.406     15.234     15.418     .8798e+10      .3974e+10       0.916     NA    NA    NA    NA    NA    
0.05704     0.05728     0.538     335.3     1.1104e+11       9     1.8686e+13      0.887     1.384     1.8400e+10       4.05       3.92       3.286       3.433     NA    NA    NA      1.270     NA     49.582      0.0001     .0000e-14       1.355     15.173     14.875     15.107     NA    NA    NA    NA    NA    NA    NA    NA    
0.05704     0.05606     0.538     335.3     1.1104e+11       9     1.8686e+13      0.887     0.420     2.0900e+09       2.56       3.64       1.751       1.865     NA    NA      0.637       1.019      19.401      30.408      1.3564     .4899e-10       1.196     16.649     16.074     16.601     .5070e+08      .6605e+09       1.328     NA    NA    NA    NA    NA    
0.05704     0.05770     0.538     335.3     1.1104e+11       9     1.8686e+13      0.887     0.000     1.1600e+11       4.29       4.20       4.695       4.956     NA    NA    NA    NA    NA    NA     0.0020     .7337e-14       1.454     13.968     13.739     13.823     NA    NA     1.100     NA    NA    NA    NA    NA    
0.05704     0.05770     0.538     335.3     1.1104e+11       9     1.8686e+13      0.887     0.025     1.0400e+10       4.21       4.18       3.255       3.619     NA    NA    NA    NA    NA    NA     0.0016     .5113e-13       1.393     16.069     15.716     15.756     NA    NA     0.437     NA    NA    NA    NA    NA    
0.05704     0.05834     0.538     335.3     1.1104e+11       9     1.8686e+13      0.887     1.022     2.7400e+09       1.16       1.23       2.758       2.671       1.575       1.529     NA    NA    NA    NA     0.0758     .7660e-11       0.855     16.960     16.522     17.784     NA    NA     0.526     NA    NA    NA    NA    NA    
0.05704     0.05813     0.538     335.3     1.1104e+11       9     1.8686e+13      0.887     0.719     1.3200e+09       1.06       0.96       3.501       3.268       2.037       1.980     NA    NA    NA    NA     0.4186     .1712e-10       0.603     NA    NA    15.959     NA    NA     0.219     NA    NA    NA    NA    NA    
0.05704     0.05605     0.538     335.3     1.1104e+11       9     1.8686e+13      0.887     0.450     7.8300e+09       1.08       1.21       2.414       2.405       1.414       1.372     NA    NA    NA    NA     0.0190     .4252e-12       1.142     NA    NA    NA    NA    NA     0.165     NA    NA    NA    NA    NA    
0.05704     0.05548     0.538     335.3     1.1104e+11       9     1.8686e+13      0.887     1.012     1.7300e+09       1.17       1.10       2.219       2.052       1.271       1.213       0.576     NA     64.625     NA     0.2837     .6398e-10       0.817     16.765     19.025     17.188     NA    NA     0.317     NA    NA    NA    NA    NA    
0.05704     0.05809     0.538     335.3     1.1104e+11       9     1.8686e+13      0.887     1.040     2.4300e+09       2.62       2.49       2.062       2.385     NA    NA    NA    NA    NA    NA     1.5734     .4747e-10       0.216     16.356     16.404     16.810     NA    NA     0.177     NA    NA    NA    NA    NA    
0.05704     0.05611     0.538     335.3     1.1104e+11       9     1.8686e+13      0.887     1.127     5.0500e+09       1.22       1.01       3.606       3.497       1.985       2.080     NA      2.162     NA     39.293      0.4267     .4501e-11       1.080     16.241     16.263     NA    NA    NA     1.222     NA    NA    NA    NA    NA    
0.05578     0.05510     0.579     189.1     1.2643e+11      11     2.3271e+13      0.449     1.087     4.5300e+10       3.48       3.52       3.455       4.584     NA    NA      1.852       3.174      78.211      79.002      0.0366     .0713e-13       1.564     15.147     14.806     15.249     .5460e+10      .4432e+10       1.147     NA    NA    NA    NA    NA    
0.05578     0.05671     0.579     189.1     1.2643e+11      11     2.3271e+13      0.449     1.961     8.7400e+09       1.38       0.92       2.573       2.562       1.410       1.558       0.292       2.092      71.790      71.705      0.0285     .2577e-12       1.391     17.051     16.813     16.962     .1162e+08      .4600e+09       0.157     NA    NA    NA    NA    NA    
0.05578     0.05517     0.579     189.1     1.2643e+11      11     2.3271e+13      0.449     1.480     1.2500e+10       3.10       2.75       1.932       1.919     NA    NA      0.722       1.417      74.933      74.933      0.0026     .0400e-13       1.329     15.755     15.365     15.684     .0472e+09      .6663e+09       2.259     NA    NA    NA    NA    NA    
0.05578     0.05437     0.579     189.1     1.2643e+11      11     2.3271e+13      0.449     1.469     1.7800e+10       0.89       0.69       2.959       3.255       1.819       2.092       0.794       1.362      71.888      70.235      1.3770     .7360e-11       1.357     16.222     15.883     15.872     NA    .1245e+09       4.566     NA    NA    NA    NA    NA    
0.05578     0.05622     0.579     189.1     1.2643e+11      11     2.3271e+13      0.449     0.856     5.9800e+09       3.49       2.75       1.698       1.641     NA    NA      0.583       0.583      23.997      23.997      0.0001     .2414e-14       1.297     17.988     17.408     17.527     .8078e+09      .9611e+09      NA    NA    NA    NA    NA    NA    
0.05578     0.05609     0.579     189.1     1.2643e+11      11     2.3271e+13      0.449     0.405     7.6400e+09       1.67       1.52       1.949       2.151     NA    NA    NA    NA    NA    NA     0.0001     .0000e-14       1.321     17.319     16.845     NA    NA    NA    -1.590     NA    NA    NA    NA    NA    
0.05578     0.05594     0.579     189.1     1.2643e+11      11     2.3271e+13      0.449     0.458     6.0300e+08       1.13       1.03       2.316       3.163       1.339       1.874       1.145       2.103      51.817      51.066      0.2616     .3390e-10       0.444     18.155     16.772     NA    .3829e+08      .5230e+08       0.361     NA    NA    NA    NA    NA    
0.05578     0.05561     0.579     189.1     1.2643e+11      11     2.3271e+13      0.449     0.249     3.5700e+09       2.15       2.18       2.015       2.432     NA    NA      0.867       1.113      58.264      58.264      0.0001     .0000e-14       1.361     17.085     16.395     16.769     .2288e+09      .7950e+09      NA    NA    NA    NA    NA    NA    
0.05578     0.05638     0.579     189.1     1.2643e+11      11     2.3271e+13      0.449     0.134     1.1800e+10       1.85       1.86       2.930       2.934     NA    NA      1.530       1.318      59.196      59.196      0.0074     .2853e-13       1.376     16.382     17.164     16.693     .0771e+09      .3550e+09      NA    NA    NA    NA    NA    NA    
0.05578     0.05542     0.579     189.1     1.2643e+11      11     2.3271e+13      0.449     0.000     2.0300e+11       5.79       6.11      10.289      14.078     NA    NA    NA    NA    NA    NA     0.0001     .0000e-14       1.408     NA    NA    NA    NA    NA     1.898     NA    NA    NA    NA    NA    
0.05578     0.05542     0.579     189.1     1.2643e+11      11     2.3271e+13      0.449     0.054     5.1200e+10       4.81       4.45       6.417       6.262     NA    NA    NA    NA    NA    NA     0.0251     .8946e-13       1.362     NA    NA    NA    NA    NA     0.803     NA    NA    NA    NA    NA    
0.05578     0.05571     0.579     189.1     1.2643e+11      11     2.3271e+13      0.449     0.312     1.2400e+10       4.18     NA      4.556     NA    NA    NA    NA    NA    NA    NA     0.0103     .2860e-13       1.370     16.067     15.498     16.435     NA    NA     0.767     NA    NA    NA    NA    NA    
0.05515     0.05842     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     1.557     8.5200e+09       1.23       0.71       5.171       5.317       2.803       3.359       4.566       1.986      18.158      22.637      1.3971     .6398e-10       0.656     15.539     15.246     15.990     NA    .3208e+09       0.239     NA    NA    NA    NA    NA    
0.05515     0.05600     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     0.850     6.6600e+10       2.08       2.16       4.950       5.474     NA    NA      3.762       3.762      71.617      71.617      0.0423     .3461e-13       1.421     14.313     14.069     14.354     .4874e+10      .0105e+10       1.362     NA    NA    NA    NA    NA    
0.05515     0.05600     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     0.842     1.3400e+10       1.48       1.38       6.414       7.518     NA    NA    NA    NA    NA    NA     2.8839     .1521e-10       1.492     15.304     15.035     15.567     NA    NA     1.340     NA    NA    NA    NA    NA    
0.05515     0.05481     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     0.417     4.5100e+09       1.19       0.98       2.741       2.798       1.554       1.681       1.060       1.410      57.889      59.731      0.0919     .0370e-11       1.078     17.233     16.944     17.815     .0710e+08      .3183e+09       0.576     NA    NA    NA    NA    NA    
0.05515     0.05337     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     0.000     1.0800e+11       2.65       1.43       8.698       7.240       2.752       3.750       1.816       1.698      39.113      39.381     29.9591     .7740e-10       1.066     13.388     13.213     13.465     .2868e+10      .7552e+10       0.603     NA    NA    NA    NA    NA    
0.05515     0.05753     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     0.814     3.9600e+08       1.11       0.92       2.979       2.681       1.719       1.619       0.434       1.158      76.170      76.535      1.0259     .5907e-09       0.506     NA    19.137     NA    NA    .7361e+08       0.216     NA    NA    NA    NA    NA    
0.05515     0.05784     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     1.168     7.1500e+09       1.67       1.25       6.685       7.167     NA    NA    NA      4.216     NA     56.514      0.9059     .2670e-10       0.677     15.948     15.889     NA    NA    NA     0.167     NA    NA    NA    NA    NA    
0.05515     0.05629     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     1.501     1.8200e+10       1.04       0.85       4.003       4.035       2.354       2.504       0.023     -98.000      58.394     -98.000      0.0833     .5783e-12       1.304     15.613     15.673     15.599     NA    NA     0.212     NA    NA    NA    NA    NA    
0.05515     0.05555     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     1.477     1.3700e+10       0.86       0.74       2.844       2.878       1.772       1.834       0.024       1.850      53.225      53.160      0.0768     .6069e-12       1.240     17.360     16.152     16.909     NA    .6109e+09       0.364     NA    NA    NA    NA    NA    
0.05515     0.05364     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     1.629     1.7400e+09       1.14       0.82       3.458       3.824       1.961       2.450     -98.000       0.414     -98.000      33.578      5.0833     .9214e-09       0.717     16.091     16.601     16.901     NA    NA    NA    NA    NA    NA    NA    NA    
0.05515     0.05310     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     0.909     2.5500e+09       0.76       0.33       4.661       4.627       2.975     NA      0.013       0.216      72.982      74.681      0.5109     .0036e-10       0.608     16.602     16.755     16.912     NA    .0351e+09       0.253     NA    NA    NA    NA    NA    
0.05515     0.05264     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     0.221     1.3300e+09       1.02       1.07       1.686       2.102       1.007       1.239     NA      0.974     NA     69.912      0.0942     .0824e-11       0.686     17.697     17.562     18.013     NA    NA     0.154     NA    NA    NA    NA    NA    
0.05515     0.05279     0.675     644.6     1.6853e+11      12     3.6914e+13      1.893     0.114     1.8600e+09       1.20       1.19       3.330       3.458       1.859       1.952     NA      1.197     NA     71.478      0.0797     .2856e-11       0.840     NA    NA    17.143     NA    NA     0.382     NA    NA    NA    NA    NA    
0.05568     0.05586     0.425     116.5     7.4082e+10       7     9.2143e+12      0.313     1.495     1.5800e+09       1.07       0.76       3.568       3.587     NA    NA    NA    NA    NA    NA     0.3483     .2047e-10       0.413     16.605     16.643     18.250     NA    NA     0.097     NA    NA    NA    NA    NA    
0.05568     0.05671     0.425     116.5     7.4082e+10       7     9.2143e+12      0.313     0.375     5.4800e+08       1.43       1.39       2.197       2.716     NA    NA      1.155       1.819      77.479      77.479      0.1208     .2047e-10       0.342     19.145     17.260     NA    .6002e+08      .7076e+08       0.014     NA    NA    NA    NA    NA    
0.05568     0.05599     0.425     116.5     7.4082e+10       7     9.2143e+12      0.313     0.512     1.7700e+10       1.33       1.00       5.189       5.780       2.726       3.435       1.135       5.220      47.596      46.114      8.4232     .7589e-10       0.879     14.704     14.389     14.716     NA    .2470e+10       0.581     NA    NA    NA    NA    NA    
0.05568     0.05542     0.425     116.5     7.4082e+10       7     9.2143e+12      0.313     0.000     6.6200e+10       6.47       5.73       6.532       6.270     NA    NA      2.090       1.965      27.755      30.810      0.4717     .1251e-12       1.364     15.032     14.760     15.148     .5062e+10      .5093e+09      NA    NA    NA    NA    NA    NA    
0.05568     0.05558     0.425     116.5     7.4082e+10       7     9.2143e+12      0.313     0.912     2.2700e+09       1.06       0.88       3.266       3.980       1.932       2.436       1.462       1.684      77.133      77.268      0.1918     .4501e-11       0.809     17.220     16.965     17.232     NA    .5951e+09       0.402     NA    NA    NA    NA    NA    
0.05568     0.05558     0.425     116.5     7.4082e+10       7     9.2143e+12      0.313     1.818     5.9600e+10       3.82       4.05       3.110       3.637     NA    NA      1.698       2.299      64.463      64.091      0.1828     .0671e-12       1.384     15.429     14.963     15.275     .2874e+10      .2612e+09      NA    NA    NA    NA    NA    NA    
0.05568     0.05533     0.425     116.5     7.4082e+10       7     9.2143e+12      0.313     1.849     1.3200e+10       4.73       4.01       1.747       1.817     NA    NA    NA    NA    NA    NA     0.0084     .3461e-13       1.361     16.063     15.763     16.061     NA    NA    NA    NA    NA    NA    NA    NA    
0.05655     0.05589     0.244     279.0     2.5796e+10       5     1.7429e+12      0.146     0.000     6.4900e+09       3.86       3.34       2.601       2.672     NA    NA      1.581       1.742      38.574      45.194      0.0001     .0452e-14       1.342     16.424     15.883     15.971     .4964e+09      .2546e+10      NA    NA    NA    NA    NA    NA    
0.05655     0.05782     0.244     279.0     2.5796e+10       5     1.7429e+12      0.146     2.128     7.6000e+08       2.32       1.76       2.752       2.032     NA    NA    NA    NA    NA    NA     0.2972     .9100e-10       0.309     NA    18.160     18.503     NA    NA     0.148     NA    NA    NA    NA    NA    
0.05655     0.05650     0.244     279.0     2.5796e+10       5     1.7429e+12      0.146     1.825     2.4700e+09       1.94       1.85       2.327       1.197     NA    NA    NA    NA    NA    NA     0.1098     .4474e-11       0.886     18.035     17.318     16.836     NA    NA    -0.120     NA    NA    NA    NA    NA    
0.05655     0.05717     0.244     279.0     2.5796e+10       5     1.7429e+12      0.146     3.057     2.2300e+09       1.53       1.45       3.617       4.014     NA    NA      2.467       2.406      42.493      42.412      0.1996     .9504e-11       0.711     NA    17.829     NA    .2652e+08      .6389e+08       0.007     NA    NA    NA    NA    NA    
0.05655     0.05586     0.244     279.0     2.5796e+10       5     1.7429e+12      0.146     2.631     1.8800e+09       1.01       0.93       1.724       1.804       1.028       1.099     NA    NA    NA    NA     0.0742     .9461e-11       0.907     17.820     18.494     17.390     NA    NA     0.145     NA    NA    NA    NA    NA    
0.05650     0.05737     0.253     211.3     2.8020e+10       5     1.9514e+12      0.456     1.628     3.3300e+09       0.81       0.78       3.154       3.260       1.970       2.033       1.425       1.139      75.389      76.064      0.0471     .4144e-11       1.128     17.122     16.773     18.720     NA    .3311e+09       0.468     NA    NA    NA    NA    NA    
0.05650     0.05580     0.253     211.3     2.8020e+10       5     1.9514e+12      0.456     0.345     1.3800e+09       0.89       0.73       3.192       3.096       1.988       2.037       0.976       0.335      41.934      44.135      0.0323     .3384e-11       0.755     18.789     17.517     18.114     NA    .3319e+09       0.444     NA    NA    NA    NA    NA    
0.05650     0.05672     0.253     211.3     2.8020e+10       5     1.9514e+12      0.456     0.000     2.1800e+10       4.95       5.35       4.259       4.711     NA    NA    NA    NA    NA    NA     0.0166     .6225e-13       1.300     16.451     16.066     15.775     NA    NA    NA    NA    NA    NA    NA    NA    
0.05650     0.05650     0.253     211.3     2.8020e+10       5     1.9514e+12      0.456     2.024     1.1900e+10       1.14       1.27       3.406       3.610       1.954       2.008     NA    NA    NA    NA     2.5182     .1162e-10       0.745     15.563     15.326     15.354     NA    NA     0.240     NA    NA    NA    NA    NA    
0.05650     0.05581     0.253     211.3     2.8020e+10       5     1.9514e+12      0.456     1.941     5.0200e+08       0.78       0.66       2.559       2.428     NA    NA    NA    NA    NA    NA     0.3693     .3576e-10       0.405     17.999     NA    NA    NA    NA     0.178     NA    NA    NA    NA    NA    
0.05616     0.05610     0.492     206.0     9.5122e+10       6     1.4300e+13      1.349     1.022     8.2300e+09       2.93       4.12       4.243       4.288     NA    NA      2.584       0.518      43.780      43.780      0.2693     .2726e-11       1.020     16.142     16.050     16.026     .3111e+09      .1975e+09      NA    NA    NA    NA    NA    NA    
0.05616     0.05576     0.492     206.0     9.5122e+10       6     1.4300e+13      1.349     0.670     1.9600e+10       2.60       0.97      10.020       6.843       3.119       4.139       3.265       0.460      36.863      33.796      0.3993     .0370e-11       1.008     15.106     15.276     15.763     .4000e+10      .4119e+09       0.193     NA    NA    NA    NA    NA    
0.05616     0.05630     0.492     206.0     9.5122e+10       6     1.4300e+13      1.349     0.000     1.6700e+11       5.11       4.40       9.161       9.054     NA    NA      3.322       3.423      46.211      46.211      0.1050     .2853e-13       1.328     13.669     13.443     13.577     .6499e+10      .0514e+10      NA    NA    NA    NA    NA    NA    
0.05616     0.05688     0.492     206.0     9.5122e+10       6     1.4300e+13      1.349     0.319     3.5000e+09       0.99       0.81       3.945       4.146       2.360       2.605       0.991       2.361      71.619      71.361      0.1966     .6173e-11       1.121     16.885     16.791     16.727     NA    .6837e+09       0.389     NA    NA    NA    NA    NA    
0.05616     0.05660     0.492     206.0     9.5122e+10       6     1.4300e+13      1.349     1.092     1.3000e+09       1.75       1.45       3.928       4.425     NA    NA    NA      0.992     NA     27.648      0.4485     .4500e-10       0.597     NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    
0.05616     0.05494     0.492     206.0     9.5122e+10       6     1.4300e+13      1.349     1.141     3.2100e+09       0.75       0.43       3.829       3.656       2.543       2.741       0.054       1.939       6.368       0.000      1.8792     .8543e-10       0.806     16.005     15.561     16.913     NA    .6263e+09       0.742     NA    NA    NA    NA    NA    
0.05701     0.05846     0.885     284.2     3.0061e+11      13     8.3243e+13      0.796     1.896     3.6500e+10       1.62       1.46       5.315       6.461     NA    NA      1.300       1.481      80.008      80.075      0.1312     .5947e-12       1.390     14.902     14.491     14.783     .5935e+10      .6235e+10      NA    NA    NA    NA    NA    NA    
