groupz    galz    R200    Sigma    Lgroup    Nmemb    Mgroup    DeltaLSS    dR200    MassBest    nI    nB    gReI    gReB    diskhI-tot    diskhB-tot    bulgeRe-I    bulgeRe-B    diskInc-I    diskInc-B    SFRBest    sSFRBest    B-I    Jmag    Hmag    Kmag    BulgeMass    DiskMass    FUV-NUV    umag    gmag    rmag    imag    zmag    
0.05038     0.04996     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     0.504     3.2900e+09       0.68       0.61       2.134       2.100       1.341       1.309       0.990       0.808      78.750      76.405      0.2545     .7360e-11       0.980     17.618     17.732     17.021     NA    .7504e+09      NA    NA    NA    NA    NA    NA    
0.05038     0.05051     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     0.801     3.9700e+09       1.75       1.50       1.243       1.393     NA    NA      0.741       0.741      41.443      41.443      0.4348     .0951e-10       0.820     17.006     NA    17.448     .3056e+08      .2552e+09      NA    NA    NA    NA    NA    NA    
0.05038     0.04999     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     1.681     1.5200e+10       1.28       0.96       5.645       6.384       3.035       3.867     NA      3.236     NA     65.438      2.4925     .6398e-10       0.783     14.968     14.549     14.921     NA    NA     0.366     NA    NA    NA    NA    NA    
0.05038     0.05151     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     1.926     4.0100e+08       1.44       1.10       4.518       4.801       2.252       2.776     NA      3.618     NA     61.609      0.1901     .7419e-10       0.454     NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    
0.05038     0.04965     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     1.969     1.2900e+10       0.79       0.59       2.444       2.547       1.550       1.660     NA    NA    NA    NA     0.6156     .7718e-11       0.946     15.938     15.865     16.389     NA    NA    NA    NA    NA    NA    NA    NA    
0.05143     0.05172     0.328     287.4     4.6776e+10       5     4.2114e+12      0.340     1.957     1.3200e+09       0.90       0.69       2.507       2.517       1.561       1.608     -98.000       1.303     -98.000      69.281      0.2202     .6681e-10       0.791     16.981     NA    NA    NA    NA     0.098     NA    NA    NA    NA    NA    
0.05143     0.05097     0.328     287.4     4.6776e+10       5     4.2114e+12      0.340     0.192     1.0600e+10       2.46       1.96       1.814       1.566     NA    NA      1.176       1.235      40.980      41.510      0.2472     .3316e-11       1.132     15.777     16.068     16.370     .0001e+09      .0018e+09       0.373     NA    NA    NA    NA    NA    
0.05143     0.05001     0.328     287.4     4.6776e+10       5     4.2114e+12      0.340     1.154     8.1300e+09       1.16       0.77       3.779       3.930       2.156       2.482       1.499     -98.000      68.862     -98.000      0.0538     .6141e-12       1.233     16.364     15.952     16.267     NA    NA    -0.002     NA    NA    NA    NA    NA    
0.05143     0.05222     0.328     287.4     4.6776e+10       5     4.2114e+12      0.340     0.000     2.4800e+10       3.82       3.35       6.319       9.588     NA    NA      3.480       3.480      52.799      52.799      0.4147     .6722e-11       1.003     14.633     14.785     14.399     .0915e+10      .9060e+09       0.131     NA    NA    NA    NA    NA    
0.05143     0.05190     0.328     287.4     4.6776e+10       5     4.2114e+12      0.340     0.691     8.9000e+09       0.95       0.83       4.716       5.368       2.855       3.332       0.688       0.377      78.526      78.635      0.2913     .2726e-11       1.288     16.259     15.502     15.527     NA    .3347e+09       0.481     NA    NA    NA    NA    NA    
0.05020     0.05017     0.445      57.2     7.9755e+10       6     1.0490e+13      0.398     1.806     1.1300e+10       1.07       0.67       6.633       7.036       3.834       4.856     NA      3.920     NA     29.126      4.6523     .1171e-10       0.871     15.661     14.973     15.157     NA    NA    NA    NA    NA    NA    NA    NA    
0.05020     0.05040     0.445      57.2     7.9755e+10       6     1.0490e+13      0.398     0.803     3.6700e+08       1.08       0.59       4.641       4.373       2.689       3.149       0.782       0.505      42.782      54.808      3.4896     .5083e-09       0.528     16.770     NA    NA    NA    .5216e+08      NA    NA    NA    NA    NA    NA    
0.05020     0.05040     0.445      57.2     7.9755e+10       6     1.0490e+13      0.398     1.192     2.2700e+08       1.25       0.99       1.712       1.831       0.958       1.095     NA      2.342     NA     57.291      2.2700     .0000e-08       0.816     NA    17.076     NA    NA    NA    NA    NA    NA    NA    NA    NA    
0.05020     0.04967     0.445      57.2     7.9755e+10       6     1.0490e+13      0.398     0.200     5.0500e+09       0.95       0.63       4.470       4.340       2.699       2.942       1.978       2.589      47.147      42.443      0.3907     .7360e-11       0.979     17.718     NA    16.858     NA    .2454e+09      NA    NA    NA    NA    NA    NA    
0.05020     0.04992     0.445      57.2     7.9755e+10       6     1.0490e+13      0.398     0.000     1.5900e+11       3.69     NA     12.652     NA      2.822       4.067       0.728       0.006      47.933      46.894      3.4657     .1797e-11       1.131     13.739     13.378     13.747     .6476e+10      .5704e+10      NA    NA    NA    NA    NA    NA    
0.05020     0.05039     0.445      57.2     7.9755e+10       6     1.0490e+13      0.398     1.061     9.7700e+08       0.72       0.47       4.147       4.536       2.684       3.116       0.058       2.232      78.106      80.267      0.2086     .1356e-10       0.505     18.208     NA    NA    NA    .6524e+08      NA    NA    NA    NA    NA    NA    
0.05066     0.05103     0.363      42.0     5.6245e+10       5     5.7186e+12      0.000     0.849     1.3900e+10       3.10       3.60       2.861       3.606     NA    NA      2.443       1.937      43.310      46.654      0.0349     .5095e-12       1.299     15.573     16.096     16.672     .0691e+10      .2752e+09       0.870     NA    NA    NA    NA    NA    
0.05066     0.05103     0.363      42.0     5.6245e+10       5     5.7186e+12      0.000     0.843     3.1900e+09       5.50       3.80       5.363       5.422     NA    NA    NA    NA    NA    NA     0.0279     .7465e-12       1.678     17.886     18.762     17.867     NA    NA     0.719     NA    NA    NA    NA    NA    
0.05066     0.05053     0.363      42.0     5.6245e+10       5     5.7186e+12      0.000     0.299     6.0500e+09       1.63       1.54       1.389       1.427     NA    NA      0.981       0.995      49.534      49.534      0.0001     .0000e-14       1.190     16.306     16.101     16.248     .3987e+09      .1369e+09       1.529     NA    NA    NA    NA    NA    
0.05066     0.05035     0.363      42.0     5.6245e+10       5     5.7186e+12      0.000     0.502     2.1900e+09       1.52       1.50       5.845       6.304       2.793       3.033       2.363       2.798      32.113      33.369      0.1248     .7008e-11       0.672     16.904     17.653     NA    .1261e+08      .2920e+09      -0.071     NA    NA    NA    NA    NA    
0.05066     0.05094     0.363      42.0     5.6245e+10       5     5.7186e+12      0.000     0.000     2.0200e+11       2.62       2.53       3.368       4.357     NA    NA      1.845       2.109       0.000      14.957      0.0441     .1827e-13       1.407     13.736     13.388     13.568     .4460e+10      .2779e+10       1.663     NA    NA    NA    NA    NA    
0.05066     0.05059     0.363      42.0     5.6245e+10       5     5.7186e+12      0.000     0.899     2.8000e+10       3.37       3.56       3.682       4.225     NA    NA      1.063       0.857      62.046      63.661      0.0631     .2533e-12       1.360     14.962     14.657     14.848     .7607e+10      .8583e+10       1.177     NA    NA    NA    NA    NA    
0.05157     0.05057     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     1.354     4.7200e+10       1.45       1.46       4.914       7.016     NA    NA    NA    -98.000     NA    -98.000      1.8626     .9461e-11       1.020     14.062     13.726     14.468     NA    NA     0.216     NA    NA    NA    NA    NA    
0.05157     0.05079     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     1.053     3.2000e+09       0.58       0.51       2.976       3.057     NA    NA    NA    NA    NA    NA     0.2059     .4340e-11       1.109     17.266     16.567     18.446     NA    NA     0.766     NA    NA    NA    NA    NA    
0.05157     0.05277     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.788     2.8000e+10       5.58       4.80       4.272       4.956     NA    NA      1.702       1.085      66.778      58.957      0.0631     .2533e-12       1.346     14.989     14.491     14.954     .1094e+10      .3001e+09       0.481     NA    NA    NA    NA    NA    
0.05157     0.05045     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.874     2.2200e+09       1.77       1.25       4.328       3.532     NA    NA      2.142       2.563      28.931      31.065      0.5895     .6552e-10       0.532     16.237     17.263     NA    .9188e+08      .2914e+09       0.190     NA    NA    NA    NA    NA    
0.05157     0.05303     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.833     1.9800e+10       1.62       0.93       7.276       8.406       3.572       5.100       1.786       1.086      75.522      75.345      1.8540     .3638e-11       1.245     14.802     14.758     14.803     .4750e+10      .2985e+10       0.644     NA    NA    NA    NA    NA    
0.05157     0.05042     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.710     4.8900e+09       3.77       2.86       3.307       2.770     NA    NA      0.405       0.885      45.191      46.664      0.0001     .0000e-14       1.145     NA    NA    NA    .9799e+08      .4084e+09      NA    NA    NA    NA    NA    NA    
0.05157     0.05187     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.693     2.0400e+10       3.18       2.65       1.450       1.582     NA    NA      0.957       0.501      47.528      47.528      0.0001     .0000e-14       1.383     16.294     15.827     16.481     .7112e+10      .1473e+09      -0.505     NA    NA    NA    NA    NA    
0.05157     0.05341     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.659     8.0000e+08       1.54       1.67       4.929       4.921     NA    NA      3.067       2.998      70.687      70.856      0.4683     .8543e-10       0.554     NA    17.434     NA    .3102e+08      .8754e+08       0.412     NA    NA    NA    NA    NA    
0.05157     0.05208     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.521     1.3000e+11       3.15       2.97       6.333       7.055     NA    NA    NA    NA    NA    NA     0.0347     .6673e-13       1.442     13.355     13.134     13.377     NA    NA     1.768     NA    NA    NA    NA    NA    
0.05157     0.05358     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.517     4.6300e+08       1.06       0.98       2.515       2.638       1.483       1.583     NA      1.906     NA     69.264      4.6300     .0000e-08       0.810     17.293     18.297     17.835     NA    NA     0.527     NA    NA    NA    NA    NA    
0.05157     0.05306     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.491     4.5900e+09       1.66       1.38       5.711       5.611     NA    NA      4.151       2.791      43.721      43.721      0.9196     .0036e-10       0.763     NA    15.838     NA    .9013e+09      .3937e+09       0.346     NA    NA    NA    NA    NA    
0.05157     0.05235     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.604     2.2000e+10       1.73       1.66       3.465       3.600     NA    NA      2.589       2.589      80.096      80.096      0.0001     .0000e-14       1.257     16.006     15.762     16.533     .9763e+09      .5729e+09      -1.436     NA    NA    NA    NA    NA    
0.05157     0.05088     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.963     1.5500e+10       2.22       2.02       1.962       2.079     NA    NA      1.229       1.511      39.180      38.664      0.0001     .0000e-14       1.328     16.981     16.530     16.655     .5567e+09      .1849e+09      -0.301     NA    NA    NA    NA    NA    
0.05157     0.05030     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.061     5.5700e+10       2.91       2.15       3.028       4.020     NA    NA      1.581       1.581      60.029      60.029      0.0461     .2860e-13       1.622     14.253     14.104     14.198     .7254e+10      .0736e+10       1.037     NA    NA    NA    NA    NA    
